1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
69, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
70, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
71, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
72, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
73, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
74, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
75, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
76, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
77, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
78, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
79, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
80, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
81, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
82, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
83, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
84, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
85, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
86, plains, minecraft:plains, pvj_ambient, projectvibrantjourneys:fly, 15, 1, 3
87, plains, minecraft:plains, pvj_ambient, projectvibrantjourneys:snail, 30, 1, 3
88, plains, minecraft:plains, pvj_ambient, projectvibrantjourneys:slug, 25, 1, 3
89, plains, minecraft:plains, pvj_ambient, projectvibrantjourneys:small_spider, 10, 1, 1
90, plains, minecraft:plains, pvj_water_ambient, projectvibrantjourneys:clam, 10, 1, 3
91, plains, minecraft:plains, pvj_night_ambient, projectvibrantjourneys:firefly, 30, 1, 5
92, plains, minecraft:plains, pvj_night_ambient, projectvibrantjourneys:night_bat, 10, 1, 3
93, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
94, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
95, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
96, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
97, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
98, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
99, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
100, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
101, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
102, desert, minecraft:desert, MONSTER, mowziesmobs:grottol, 10, 1, 1
103, desert, minecraft:desert, MONSTER, dannys_expansion:black_scorpion, 25, 1, 1
104, desert, minecraft:desert, MONSTER, dannys_expansion:ghoul, 20, 1, 3
105, desert, minecraft:desert, MONSTER, dannys_expansion:mummy, 15, 1, 1
106, desert, minecraft:desert, MONSTER, dannys_expansion:possessed_armor, 10, 1, 1
107, desert, minecraft:desert, MONSTER, dannys_expansion:sporer, 10, 1, 1
108, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
109, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
110, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
111, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
112, desert, minecraft:desert, MONSTER, mowziesmobs:grottol, 10, 1, 1
113, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
114, desert, minecraft:desert, CREATURE, exoticbirds:roadrunner, 10, 2, 5
115, desert, minecraft:desert, CREATURE, exoticbirds:ostrich, 10, 2, 5
116, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
117, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
118, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
119, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
120, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
121, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
122, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
123, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
124, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
125, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
126, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
127, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
128, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
129, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
130, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 6
131, extreme_hills, minecraft:mountains, MONSTER, minecraft:spider, 80, 4, 4
132, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie, 80, 4, 4
133, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie_villager, 10, 1, 1
134, extreme_hills, minecraft:mountains, MONSTER, minecraft:skeleton, 80, 4, 4
135, extreme_hills, minecraft:mountains, MONSTER, minecraft:creeper, 80, 4, 4
136, extreme_hills, minecraft:mountains, MONSTER, minecraft:slime, 80, 4, 4
137, extreme_hills, minecraft:mountains, MONSTER, minecraft:enderman, 5, 1, 4
138, extreme_hills, minecraft:mountains, MONSTER, minecraft:witch, 5, 1, 1
139, extreme_hills, minecraft:mountains, MONSTER, mowziesmobs:grottol, 10, 1, 1
140, extreme_hills, minecraft:mountains, MONSTER, dannys_expansion:ghoul, 20, 1, 3
141, extreme_hills, minecraft:mountains, MONSTER, dannys_expansion:possessed_armor, 10, 1, 1
142, extreme_hills, minecraft:mountains, MONSTER, dannys_expansion:sporer, 10, 1, 1
143, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
144, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
145, extreme_hills, minecraft:mountains, MONSTER, mowziesmobs:grottol, 10, 1, 1
146, extreme_hills, minecraft:mountains, CREATURE, minecraft:sheep, 12, 4, 4
147, extreme_hills, minecraft:mountains, CREATURE, minecraft:pig, 10, 4, 4
148, extreme_hills, minecraft:mountains, CREATURE, minecraft:chicken, 10, 4, 4
149, extreme_hills, minecraft:mountains, CREATURE, minecraft:cow, 10, 4, 4
150, extreme_hills, minecraft:mountains, CREATURE, minecraft:llama, 10, 4, 6
151, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
152, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
153, extreme_hills, minecraft:mountains, AMBIENT, minecraft:bat, 10, 8, 8
154, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
155, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
156, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
157, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
158, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
159, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
160, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
161, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
162, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
163, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
164, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
165, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
166, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
167, extreme_hills, minecraft:mountains, pvj_ambient, projectvibrantjourneys:fly, 15, 1, 3
168, extreme_hills, minecraft:mountains, pvj_ambient, projectvibrantjourneys:snail, 30, 1, 3
169, extreme_hills, minecraft:mountains, pvj_ambient, projectvibrantjourneys:slug, 25, 1, 3
170, extreme_hills, minecraft:mountains, pvj_ambient, projectvibrantjourneys:small_spider, 10, 1, 1
171, extreme_hills, minecraft:mountains, pvj_water_ambient, projectvibrantjourneys:clam, 10, 1, 3
172, extreme_hills, minecraft:mountains, pvj_night_ambient, projectvibrantjourneys:firefly, 30, 1, 5
173, extreme_hills, minecraft:mountains, pvj_night_ambient, projectvibrantjourneys:night_bat, 10, 1, 3
174, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
175, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
176, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
177, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
178, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
179, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
180, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
181, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
182, forest, minecraft:forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
183, forest, minecraft:forest, MONSTER, dannys_expansion:ghoul, 20, 1, 3
184, forest, minecraft:forest, MONSTER, dannys_expansion:mundane_slime, 13, 1, 1
185, forest, minecraft:forest, MONSTER, dannys_expansion:mundane_slime, 13, 1, 1
186, forest, minecraft:forest, MONSTER, dannys_expansion:possessed_armor, 10, 1, 1
187, forest, minecraft:forest, MONSTER, dannys_expansion:rammer, 10, 1, 1
188, forest, minecraft:forest, MONSTER, dannys_expansion:sporer, 10, 1, 1
189, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
190, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
191, forest, minecraft:forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
192, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
193, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
194, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
195, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
196, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
197, forest, minecraft:forest, CREATURE, exoticbirds:bluejay, 12, 2, 5
198, forest, minecraft:forest, CREATURE, exoticbirds:cardinal, 12, 2, 5
199, forest, minecraft:forest, CREATURE, exoticbirds:robin, 12, 2, 5
200, forest, minecraft:forest, CREATURE, exoticbirds:lyrebird, 10, 2, 5
201, forest, minecraft:forest, CREATURE, exoticbirds:hummingbird, 18, 2, 5
202, forest, minecraft:forest, CREATURE, exoticbirds:peafowl, 10, 2, 5
203, forest, minecraft:forest, CREATURE, exoticbirds:magpie, 12, 2, 5
204, forest, minecraft:forest, CREATURE, exoticbirds:cassowary, 10, 2, 5
205, forest, minecraft:forest, CREATURE, exoticbirds:kiwi, 10, 2, 5
206, forest, minecraft:forest, CREATURE, exoticbirds:pigeon, 12, 2, 5
207, forest, minecraft:forest, CREATURE, exoticbirds:woodpecker, 12, 2, 5
208, forest, minecraft:forest, CREATURE, risingtides:snail, 12, 3, 5
209, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
210, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
211, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
212, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
213, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
214, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
215, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
216, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
217, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
218, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
219, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
220, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
221, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
222, forest, minecraft:forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
223, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
224, forest, minecraft:forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
225, forest, minecraft:forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
226, forest, minecraft:forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
227, forest, minecraft:forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
228, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
229, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
230, forest, minecraft:forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
231, forest, minecraft:forest, pvj_ambient, projectvibrantjourneys:fly, 15, 1, 3
232, forest, minecraft:forest, pvj_ambient, projectvibrantjourneys:snail, 30, 1, 3
233, forest, minecraft:forest, pvj_ambient, projectvibrantjourneys:slug, 25, 1, 3
234, forest, minecraft:forest, pvj_ambient, projectvibrantjourneys:small_spider, 10, 1, 1
235, forest, minecraft:forest, pvj_water_ambient, projectvibrantjourneys:clam, 10, 1, 3
236, forest, minecraft:forest, pvj_night_ambient, projectvibrantjourneys:firefly, 30, 1, 5
237, forest, minecraft:forest, pvj_night_ambient, projectvibrantjourneys:night_bat, 10, 1, 3
238, taiga, minecraft:taiga, MONSTER, minecraft:spider, 80, 4, 4
239, taiga, minecraft:taiga, MONSTER, minecraft:zombie, 80, 4, 4
240, taiga, minecraft:taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
241, taiga, minecraft:taiga, MONSTER, minecraft:skeleton, 80, 4, 4
242, taiga, minecraft:taiga, MONSTER, minecraft:creeper, 80, 4, 4
243, taiga, minecraft:taiga, MONSTER, minecraft:slime, 80, 4, 4
244, taiga, minecraft:taiga, MONSTER, minecraft:enderman, 5, 1, 4
245, taiga, minecraft:taiga, MONSTER, minecraft:witch, 5, 1, 1
246, taiga, minecraft:taiga, MONSTER, mowziesmobs:grottol, 10, 1, 1
247, taiga, minecraft:taiga, MONSTER, dannys_expansion:ghoul, 20, 1, 3
248, taiga, minecraft:taiga, MONSTER, dannys_expansion:mundane_slime, 13, 1, 1
249, taiga, minecraft:taiga, MONSTER, dannys_expansion:mundane_slime, 13, 1, 1
250, taiga, minecraft:taiga, MONSTER, dannys_expansion:possessed_armor, 10, 1, 1
251, taiga, minecraft:taiga, MONSTER, dannys_expansion:rammer, 10, 1, 1
252, taiga, minecraft:taiga, MONSTER, dannys_expansion:sporer, 10, 1, 1
253, taiga, minecraft:taiga, MONSTER, alexsmobs:centipede_head, 10, 1, 1
254, taiga, minecraft:taiga, MONSTER, alexsmobs:centipede_head, 10, 1, 1
255, taiga, minecraft:taiga, MONSTER, mowziesmobs:grottol, 10, 1, 1
256, taiga, minecraft:taiga, CREATURE, minecraft:sheep, 12, 4, 4
257, taiga, minecraft:taiga, CREATURE, minecraft:pig, 10, 4, 4
258, taiga, minecraft:taiga, CREATURE, minecraft:chicken, 10, 4, 4
259, taiga, minecraft:taiga, CREATURE, minecraft:cow, 10, 4, 4
260, taiga, minecraft:taiga, CREATURE, minecraft:wolf, 10, 4, 4
261, taiga, minecraft:taiga, CREATURE, minecraft:rabbit, 10, 2, 3
262, taiga, minecraft:taiga, CREATURE, minecraft:fox, 10, 2, 4
263, taiga, minecraft:taiga, CREATURE, exoticbirds:robin, 12, 2, 5
264, taiga, minecraft:taiga, CREATURE, exoticbirds:owl, 10, 2, 5
265, taiga, minecraft:taiga, CREATURE, exoticbirds:woodpecker, 12, 2, 5
266, taiga, minecraft:taiga, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
267, taiga, minecraft:taiga, CREATURE, alexsmobs:raccoon, 10, 2, 4
268, taiga, minecraft:taiga, CREATURE, alexsmobs:crow, 10, 3, 5
269, taiga, minecraft:taiga, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
270, taiga, minecraft:taiga, CREATURE, alexsmobs:raccoon, 10, 2, 4
271, taiga, minecraft:taiga, CREATURE, alexsmobs:crow, 10, 3, 5
272, taiga, minecraft:taiga, AMBIENT, minecraft:bat, 10, 8, 8
273, taiga, minecraft:taiga, AMBIENT, alexsmobs:fly, 10, 2, 3
274, taiga, minecraft:taiga, AMBIENT, alexsmobs:cockroach, 10, 5, 5
275, taiga, minecraft:taiga, AMBIENT, alexsmobs:fly, 10, 2, 3
276, taiga, minecraft:taiga, AMBIENT, alexsmobs:cockroach, 10, 5, 5
277, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
278, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
279, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
280, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
281, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
282, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
283, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
284, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
285, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
286, taiga, minecraft:taiga, pvj_ambient, projectvibrantjourneys:fly, 15, 1, 3
287, taiga, minecraft:taiga, pvj_ambient, projectvibrantjourneys:snail, 30, 1, 3
288, taiga, minecraft:taiga, pvj_ambient, projectvibrantjourneys:slug, 25, 1, 3
289, taiga, minecraft:taiga, pvj_ambient, projectvibrantjourneys:small_spider, 10, 1, 1
290, taiga, minecraft:taiga, pvj_water_ambient, projectvibrantjourneys:clam, 10, 1, 3
291, taiga, minecraft:taiga, pvj_night_ambient, projectvibrantjourneys:firefly, 30, 1, 5
292, taiga, minecraft:taiga, pvj_night_ambient, projectvibrantjourneys:night_bat, 10, 1, 3
293, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
294, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
295, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
296, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
297, swamp, minecraft:swamp, MONSTER, minecraft:creeper, 80, 4, 4
298, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
299, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
300, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
301, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
302, swamp, minecraft:swamp, MONSTER, mowziesmobs:grottol, 10, 1, 1
303, swamp, minecraft:swamp, MONSTER, dannys_expansion:ghoul, 20, 1, 3
304, swamp, minecraft:swamp, MONSTER, dannys_expansion:possessed_armor, 10, 1, 1
305, swamp, minecraft:swamp, MONSTER, dannys_expansion:sporer, 10, 1, 1
306, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 10, 1, 1
307, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 10, 1, 1
308, swamp, minecraft:swamp, MONSTER, mowziesmobs:grottol, 10, 1, 1
309, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
310, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
311, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
312, swamp, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
313, swamp, minecraft:swamp, CREATURE, exoticbirds:flamingo, 10, 2, 5
314, swamp, minecraft:swamp, CREATURE, exoticbirds:hummingbird, 18, 2, 5
315, swamp, minecraft:swamp, CREATURE, exoticbirds:crane, 10, 2, 5
316, swamp, minecraft:swamp, CREATURE, exoticbirds:duck, 10, 2, 5
317, swamp, minecraft:swamp, CREATURE, exoticbirds:heron, 10, 2, 5
318, swamp, minecraft:swamp, CREATURE, exoticbirds:pigeon, 12, 2, 5
319, swamp, minecraft:swamp, CREATURE, risingtides:snail, 12, 3, 5
320, swamp, minecraft:swamp, CREATURE, aquaculture:box_turtle, 10, 1, 2
321, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 40, 1, 2
322, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
323, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
324, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 40, 1, 2
325, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
326, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
327, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
328, swamp, minecraft:swamp, AMBIENT, alexsmobs:fly, 10, 2, 3
329, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 10, 5, 5
330, swamp, minecraft:swamp, AMBIENT, alexsmobs:fly, 10, 2, 3
331, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 10, 5, 5
332, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
